timestamp,sala,estado,temperatura,humedad,co2,mensaje
2025-05-01T08:00:00,Sala_3,INFO,24.2,44.0,1066,"Medición registrada: T=24.2°C, H=44.0%, CO2=1066ppm"
2025-05-01T08:00:08,Sala_1,INFO,25.5,57.5,882,"Medición registrada: T=25.5°C, H=57.5%, CO2=882ppm"
2025-05-01T08:00:20,Sala_2,INFO,25.0,62.9,432,"Medición registrada: T=25.0°C, H=62.9%, CO2=432ppm"
2025-05-01T08:00:21,Sala_1,WARNING,25.3,55.7,682,"Medición registrada: T=25.3°C, H=55.7%, CO2=682ppm"
2025-05-01T08:00:28,Sala_1,INFO,25.0,46.1,683,"Medición registrada: T=25.0°C, H=46.1%, CO2=683ppm"
2025-05-01T08:00:50,Sala_4,WARNING,22.7,49.4,908,"Medición registrada: T=22.7°C, H=49.4%, CO2=908ppm"
2025-05-01T08:00:42,Sala_5,INFO,22.6,65.6,487,"Medición registrada: T=22.6°C, H=65.6%, CO2=487ppm"
2025-05-01T08:01:03,Sala_3,WARNING,24.7,51.4,1009,"Medición registrada: T=24.7°C, H=51.4%, CO2=1009ppm"
2025-05-01T08:01:12,Sala_5,WARNING,25.0,54.4,905,"Medición registrada: T=25.0°C, H=54.4%, CO2=905ppm"
2025-05-01T08:01:03,Sala_5,INFO,19.8,60.4,900,"Medición registrada: T=19.8°C, H=60.4%, CO2=900ppm"
2025-05-01T08:01:20,Sala_3,INFO,20.0,35.4,837,"Medición registrada: T=20.0°C, H=35.4%, CO2=837ppm"
2025-05-01T08:01:28,Sala_1,WARNING,18.6,50.7,661,"Medición registrada: T=18.6°C, H=50.7%, CO2=661ppm"
2025-05-01T08:01:48,Sala_2,INFO,22.0,34.9,885,"Medición registrada: T=22.0°C, H=34.9%, CO2=885ppm"
2025-05-01T08:01:31,Sala_5,INFO,19.5,61.6,510,"Medición registrada: T=19.5°C, H=61.6%, CO2=510ppm"
2025-05-01T08:01:38,Sala_4,INFO,22.5,66.0,1147,"Medición registrada: T=22.5°C, H=66.0%, CO2=1147ppm"
2025-05-01T08:02:00,Sala_4,INFO,22.7,60.2,560,"Medición registrada: T=22.7°C, H=60.2%, CO2=560ppm"
2025-05-01T08:02:08,Sala_1,INFO,20.9,37.5,781,"Medición registrada: T=20.9°C, H=37.5%, CO2=781ppm"
2025-05-01T08:01:42,Sala_4,INFO,22.7,51.8,1035,"Medición registrada: T=22.7°C, H=51.8%, CO2=1035ppm"
2025-05-01T08:01:30,Sala_1,INFO,19.9,31.9,875,"Medición registrada: T=19.9°C, H=31.9%, CO2=875ppm"
2025-05-01T08:01:35,Sala_1,ERROR,18.4,42.2,629,"Medición registrada: T=18.4°C, H=42.2%, CO2=629ppm"
2025-05-01T08:02:20,Sala_2,WARNING,20.4,52.3,433,"Medición registrada: T=20.4°C, H=52.3%, CO2=433ppm"
2025-05-01T08:01:45,Sala_3,INFO,23.5,34.2,354,"Medición registrada: T=23.5°C, H=34.2%, CO2=354ppm"
2025-05-01T08:02:56,Sala_3,INFO,19.5,62.2,1160,"Medición registrada: T=19.5°C, H=62.2%, CO2=1160ppm"
2025-05-01T08:02:41,Sala_2,INFO,22.4,67.1,641,"Medición registrada: T=22.4°C, H=67.1%, CO2=641ppm"
2025-05-01T08:02:48,Sala_3,INFO,24.1,40.0,352,"Medición registrada: T=24.1°C, H=40.0%, CO2=352ppm"
2025-05-01T08:02:05,Sala_1,WARNING,19.5,34.8,1071,"Medición registrada: T=19.5°C, H=34.8%, CO2=1071ppm"
2025-05-01T08:03:54,Sala_4,WARNING,22.9,39.2,1045,"Medición registrada: T=22.9°C, H=39.2%, CO2=1045ppm"
2025-05-01T08:03:09,Sala_3,INFO,20.8,58.3,412,"Medición registrada: T=20.8°C, H=58.3%, CO2=412ppm"
2025-05-01T08:02:20,Sala_5,INFO,22.3,67.5,891,"Medición registrada: T=22.3°C, H=67.5%, CO2=891ppm"
2025-05-01T08:02:25,Sala_3,INFO,23.2,64.7,1176,"Medición registrada: T=23.2°C, H=64.7%, CO2=1176ppm"
2025-05-01T08:04:30,Sala_2,INFO,19.6,66.1,386,"Medición registrada: T=19.6°C, H=66.1%, CO2=386ppm"
2025-05-01T08:03:06,Sala_4,INFO,23.6,42.3,845,"Medición registrada: T=23.6°C, H=42.3%, CO2=845ppm"
2025-05-01T08:03:44,Sala_1,INFO,23.0,31.3,680,"Medición registrada: T=23.0°C, H=31.3%, CO2=680ppm"
2025-05-01T08:05:30,Sala_3,INFO,21.6,34.2,1137,"Medición registrada: T=21.6°C, H=34.2%, CO2=1137ppm"
2025-05-01T08:04:32,Sala_2,INFO,20.8,62.9,362,"Medición registrada: T=20.8°C, H=62.9%, CO2=362ppm"
2025-05-01T08:05:50,Sala_1,ERROR,24.3,59.7,779,"Medición registrada: T=24.3°C, H=59.7%, CO2=779ppm"
2025-05-01T08:03:00,Sala_5,INFO,18.0,36.3,1103,"Medición registrada: T=18.0°C, H=36.3%, CO2=1103ppm"
2025-05-01T08:06:10,Sala_2,INFO,23.0,52.2,476,"Medición registrada: T=23.0°C, H=52.2%, CO2=476ppm"
2025-05-01T08:05:04,Sala_3,INFO,19.5,61.2,870,"Medición registrada: T=19.5°C, H=61.2%, CO2=870ppm"
2025-05-01T08:03:15,Sala_5,INFO,21.2,43.5,1043,"Medición registrada: T=21.2°C, H=43.5%, CO2=1043ppm"
2025-05-01T08:06:40,Sala_5,INFO,23.4,38.1,989,"Medición registrada: T=23.4°C, H=38.1%, CO2=989ppm"
2025-05-01T08:04:47,Sala_3,INFO,21.0,60.6,695,"Medición registrada: T=21.0°C, H=60.6%, CO2=695ppm"
2025-05-01T08:03:30,Sala_4,INFO,20.5,61.7,861,"Medición registrada: T=20.5°C, H=61.7%, CO2=861ppm"
2025-05-01T08:04:18,Sala_2,WARNING,23.2,69.6,1119,"Medición registrada: T=23.2°C, H=69.6%, CO2=1119ppm"
2025-05-01T08:07:20,Sala_1,INFO,20.4,59.7,1102,"Medición registrada: T=20.4°C, H=59.7%, CO2=1102ppm"
2025-05-01T08:05:15,Sala_2,INFO,24.7,37.6,698,"Medición registrada: T=24.7°C, H=37.6%, CO2=698ppm"
2025-05-01T08:03:50,Sala_3,INFO,18.4,30.6,479,"Medición registrada: T=18.4°C, H=30.6%, CO2=479ppm"
2025-05-01T08:03:55,Sala_3,INFO,22.2,48.3,465,"Medición registrada: T=22.2°C, H=48.3%, CO2=465ppm"
2025-05-01T08:04:00,Sala_3,INFO,22.5,55.5,839,"Medición registrada: T=22.5°C, H=55.5%, CO2=839ppm"
2025-05-01T08:08:10,Sala_5,INFO,19.0,39.8,513,"Medición registrada: T=19.0°C, H=39.8%, CO2=513ppm"
2025-05-01T08:08:20,Sala_2,INFO,18.6,56.9,668,"Medición registrada: T=18.6°C, H=56.9%, CO2=668ppm"
2025-05-01T08:05:57,Sala_3,INFO,24.3,67.6,1127,"Medición registrada: T=24.3°C, H=67.6%, CO2=1127ppm"
